property id,situs address,property type,2025 assessed value,2025 market value,2023 market value,total improvement market value,total land market value,homestead cap loss,total main area (sq. ft.),main area (sq. ft.),main area (value),garage (sq. ft.),garage (value),pool (sq. ft.),pool (value),land (sq. ft.)
R322646,"6310 88TH ST, LUBBOCK, TX  79424",Real,663907,663907,663907,603222,60685,0,4304,3226,N/A,1078,N/A,0,0,10463
R322647,"6312 88TH ST, LUBBOCK, TX  79424",Real,602427,602427,602427,538677,63750,0,4186,3277,477232,909,61445,0,0,10625
R322648,"6311 88TH ST, LUBBOCK, TX  79424",Real,569992,569992,569992,511992,58000,0,4001,3036,447924,965,64068,0,0,10000
R322649,"6309 88TH ST, LUBBOCK, TX  79424",Real,735026,735026,735026,677026,58000,0,4525,3462,593404,1063,83622,0,0,10000
R330733,"6349 88TH ST, LUBBOCK, TX  79424",Real,514098,514098,514098,465906,48192,0,3121,2593,426798,528,39108,0,0,8309
R330734,"6347 88TH ST, LUBBOCK, TX  79424",Real,434345,434345,434345,390839,43506,0,2901,2417,358531,484,32308,0,0,7501
R330735,"6345 88TH ST, LUBBOCK, TX  79424",Real,531620,531620,531620,485962,45658,0,3286,2758,447417,528,38545,0,0,7872
R330736,"6343 88TH ST, LUBBOCK, TX  79424",Real,556802,556802,556802,511144,45658,0,3923,2927,443268,996,67876,0,0,7872
R330737,"6341 88TH ST, LUBBOCK, TX  79424",Real,538374,538374,538374,492716,45658,0,3296,2768,453766,528,38950,0,0,7872
R330738,"6339 88TH ST, LUBBOCK, TX  79424",Real,555046,555046,555046,509388,45658,0,3610,2696,441963,914,67425,0,0,7872
R330739,"6337 88TH ST, LUBBOCK, TX  79424",Real,521957,521957,521957,476299,45658,0,3178,2628,435303,550,40996,0,0,7872
R330740,"6335 88TH ST, LUBBOCK, TX  79424",Real,610407,610407,610407,564749,45658,0,4060,3532,528075,528,36674,0,0,7872
R330741,"6333 88TH ST, LUBBOCK, TX  79424",Real,537870,537870,537870,492212,45658,0,3338,2809,453758,529,38454,0,0,7872
R330742,"6331 88TH ST, LUBBOCK, TX  79424",Real,580180,580180,580180,535439,44741,0,3819,2902,468781,917,66658,0,0,7714
